event_date,product_content_id,price,sold_count,visit_count,basket_count,favored_count,category_sold,category_visits,category_basket,category_favored,category_brand_sold,ty_visits
2021-05-31,85004,87.395625,80,6002,744,1642,5048,236197,33681,40472,743,125439876
2021-05-31,4066298,65.8065093,1398,19102,5096,1703,6547,108811,28558,11913,4286,125439876
2021-05-31,6676673,120.6812464,345,19578,1261,1510,4944,306462,23418,26597,786,125439876
2021-05-31,7061886,294.4166667,24,1485,81,122,951,95645,4704,8886,179,125439876
2021-05-31,31515569,60.25097251,454,20114,2871,2102,8155,637143,49389,62460,1759,125439876
2021-05-31,32737302,59.99,44,5017,316,607,5198,1010634,33728,96699,3665,125439876
2021-05-31,32939029,141.21272,125,5301,608,698,930,41973,3911,5791,875,125439876
2021-05-31,48740784,449.985,2,221,15,22,1684,329087,12614,24534,12,125439876
2021-05-31,73318567,60.66703726,175,20256,965,1960,5198,1010634,33728,96699,3665,125439876
2021-05-30,85004,88.62941176,85,5265,633,1104,4117,215260,25181,36225,430,131821083
2021-05-30,4066298,72.5,598,6217,1716,494,3691,52128,12777,5221,1729,131821083
2021-05-30,6676673,122.3905263,342,16238,1214,947,4442,298876,21479,23809,696,131821083
2021-05-30,7061886,299,11,1362,62,100,810,92899,3988,8050,119,131821083
2021-05-30,31515569,60.38335528,305,15030,1507,1775,7757,615647,41941,64960,1209,131821083
2021-05-30,32737302,62.05850621,58,5917,339,711,5789,1335060,37958,135551,4100,131821083
2021-05-30,32939029,141.8578417,139,5049,604,609,911,43021,3801,4602,866,131821083
2021-05-30,48740784,299.99,3,281,17,16,1360,288949,9436,18708,16,131821083
2021-05-30,73318567,60.12982909,286,45833,1735,5011,5789,1335060,37958,135551,4100,131821083
2021-05-29,85004,89.57701493,67,4925,570,913,3872,198431,23790,31700,437,129670029
2021-05-29,4066298,72.51378788,528,6251,1782,509,3604,54600,13328,5178,1739,129670029
2021-05-29,6676673,123.7674126,286,15222,1063,880,4437,286091,21416,20727,653,129670029
2021-05-29,7061886,297.5714286,14,1340,65,123,790,91368,4386,7491,112,129670029
2021-05-29,31515569,60.36966253,316,14718,1435,1948,7447,582197,39278,56858,1140,129670029
2021-05-29,32737302,61.44422255,55,4758,263,533,5897,1150523,34901,110888,4299,129670029
2021-05-29,32939029,142.1201504,133,5383,615,624,895,40310,3611,3946,857,129670029
2021-05-29,48740784,299.99,3,212,13,13,2598,357502,16389,22636,15,129670029
2021-05-29,73318567,60.16539965,228,33967,1226,3389,5897,1150523,34901,110888,4299,129670029
2021-05-28,85004,89.22423077,52,3774,397,868,309,3057,163110,18821,25401,103514886
2021-05-28,4066298,72.5,538,5564,1507,405,1598,3308,48466,12414,4389,103514886
2021-05-28,6676673,126.5966667,258,13615,966,657,647,4604,270790,19955,19556,103514886
2021-05-28,7061886,297.8888889,9,972,62,76,84,705,70347,2987,6453,103514886
2021-05-28,31515569,60.15662967,240,10602,1276,798,955,6946,472724,34057,42327,103514886
2021-05-28,32737302,59.99,39,3664,222,433,3430,4671,785823,25551,70466,103514886
2021-05-28,32939029,137.6754945,182,5853,739,608,807,861,34608,3214,3370,103514886
2021-05-28,48740784,299.99,1,93,5,8,12,1805,263575,10811,17912,103514886
2021-05-28,73318567,60.40227959,194,20810,829,1467,3430,4671,785823,25551,70466,103514886
2021-05-27,85004,87.25352113,71,4189,515,985,411,3589,176215,21144,25610,107391579
2021-05-27,4066298,72.5,588,5857,1646,397,1775,3789,53058,13480,4685,107391579
2021-05-27,6676673,126.6856716,268,12907,937,638,703,4637,273490,20959,20972,107391579
2021-05-27,7061886,299,8,965,50,71,101,767,72503,3399,6539,107391579
2021-05-27,31515569,60.68328769,281,11538,1448,726,1046,7691,535761,39926,47079,107391579
2021-05-27,32737302,61.88885268,41,3628,225,353,3593,5003,840232,28579,76298,107391579
2021-05-27,32939029,136.0229362,235,6720,911,869,800,853,36514,3377,3946,107391579
2021-05-27,48740784,299.99,1,104,7,4,15,935,218188,6942,13930,107391579
2021-05-27,73318567,60.35379888,214,21037,914,1590,3593,5003,840232,28579,76298,107391579
2021-05-26,85004,82.2264,125,5641,982,932,971,5107,217245,30724,30844,106195988
2021-05-26,4066298,72.5,589,6089,1771,409,1948,4017,56226,14497,5388,106195988
2021-05-26,6676673,129.5154506,233,13614,942,657,746,4842,276308,21197,18830,106195988
2021-05-26,7061886,299,12,1098,63,71,104,785,71162,3540,5162,106195988
